source	target
IFI30	TFEC
IFI30	TM6SF1
IFI30	TRPV2
IFI30	UBE2C
SIGLEC1	CCR10
SIGLEC1	ADAMTSL4
SIGLEC1	ANKFY1
SIGLEC1	DNM1
SIGLEC1	MYO7A
SIGLEC1	SLC9A9
SIGLEC1	STAB1
SIGLEC1	SYT1
SCN4B	VEGFC
SCN4B	COX4I2
SCN4B	PGF
SCN4B	ALS2CL
SCN4B	APLNR
SCN4B	MECOM
SCN4B	RGS5
SCN4B	TNN
SCN4B	TP53INP2
PRM2	SMPX
PRM2	GPR17
PRM2	KCNK2
GPI	ESYT1
GPI	TUSC5
GPI	VPS4A
GPI	TESK1
GPI	ANKRD13A
GPI	C14orf180
GPI	LIPE
GPI	MLEC
GPI	NAT8L
GPI	PRDM8
GPI	SCARB1
GPI	TBX4
SELP	PLCXD3
SELP	ELOVL7
SELP	RASA4
SELP	SPNS2
MYO1G	STXBP2
MYO1G	FCHO1
MYO1G	ACTRT3
MYO1G	LINC00085
MYO1G	S100Z
MYO1G	APOBR
MYO1G	CAPN12
MYO1G	ADAM8
MYO1G	AGAP2
MYO1G	APBA2
MYO1G	ARMC7
MYO1G	C9orf139
MYO1G	FAM181B
MYO1G	IL12RB1
MYO1G	PBX2
MYO1G	PHOSPHO1
MYO1G	SNX22
UBR4	AHDC1
UBR4	CRIPAK
UBR4	DVL3
UBR4	ITPR3
UBR4	KIAA0195
UBR4	SLC38A7
UBR4	SLC39A13
TESK1	NR2F6
EXT1	DLGAP4
YEATS2	GPR161
YEATS2	PHACTR4
YEATS2	TRAK1
THOP1	KRT10
THOP1	ARMC6
THOP1	C17orf70
KRT39	KRT31
CCDC71	ADAM11
PRMT5	TMEM97
FAP	OGN
SLC25A28	ZNF740
KRT25	CDK15
12-Sep	TMEM171
CAPN12	KIR3DL1
GDNF	IGFN1
GDNF	RASAL1
HSPB1	HYOU1
RPS13	C6orf48
RPS13	GNB2L1
RPS13	HMGB2
RPS13	RPL5
HNRNPA1L2	RILP
C11orf94	FER1L5
C11orf94	ANKRD66
C11orf94	KCNMB2
SLC25A4	CHADL
SLC25A4	ACADSB
SLC25A4	PISD
SLC25A4	TYSND1
LDHB	ME1
RBM10	ZRSR2
HAMP	KRT81
HAMP	ZSWIM1
HAMP	NEU4
HAMP	SERINC4
RPL4	PDE6C
RPL4	RPL23A
RPL4	MAT2B
RPL4	NSA2
RPL4	SNX3
PSG2	TOPAZ1
MRPS34	C19orf53
MRPS34	ATP5J2
MRPS34	TPI1
CLK3	ARRDC2
CLK3	ZNF408
TMEM42	SNAPIN
TMEM42	KIAA0020
TMEM42	SAT2
TMEM42	HDDC3
TMEM42	OXSM
TMEM42	ZMYM6NB
TMEM42	GADD45G
TMEM42	DCUN1D4
TMEM42	KIF22
TMEM42	STK40
RCL1	TSKU
C11orf73	PDZD11
C11orf73	RABEPK
C11orf73	C6orf57
C11orf73	PRDX1
C11orf73	WDR12
C11orf73	PLGRKT
C11orf73	CCDC53
C11orf73	CDKL3
C11orf73	PPCS
C11orf73	PRADC1
FGL1	TBC1D29
FBXO31	ANKS1A
FBXO31	FHL2
HMGCL	RNMTL1
HMGCL	CUEDC2
HMGCL	COQ6
HMGCL	NMT1
FANK1	RHBDD3
FANK1	REM1
FANK1	RIPPLY1
FANK1	NOX3
FANK1	SYCE1L
FANK1	NUTM1
FANK1	BRINP2
FANK1	C2orf47
FANK1	CALN1
FANK1	CCDC106
FANK1	FLJ33360*
FANK1	HRH4
FANK1	KCNK7
FANK1	MRGPRX1
FANK1	RALGAPB
FANK1	SH2D6
ALDH1L1	AVPI1
ALDH1L1	SLC41A1
ALDH1L1	KLF15
ALDH1L1	ECHDC3
ALDH1L1	FAM89A
ALDH1L1	SLC7A10
ALDH1L1	APOB
ALDH1L1	BDH1
ALDH1L1	CAPN6
ALDH1L1	DHTKD1
ALDH1L1	GLYCTK
ALDH1L1	GPT2
ALDH1L1	LACTB2
ALDH1L1	MYOC
ALDH1L1	PLCXD1
ALDH1L1	RNF157
ALDH1L1	SLC35G2
ALDH1L1	ZSCAN2
FAM118B	KLHL18
CCDC53	HIST1H1C
CTSW	ZGLP1
FAM50A	ATF4
GADD45G	GADD45B
GADD45G	NFKBIA
CLVS1	ZNF184
CLVS1	CUX2
CLVS1	RASL10A
CLVS1	LCE4A
CLVS1	FAM83B
CLVS1	MIB2
CLVS1	PRR4
CLVS1	SAGE1
CLVS1	JUND
CLVS1	B3GAT2
CLVS1	C5orf45
CLVS1	CCDC152
CLVS1	CDK18
CLVS1	COL1A1
CLVS1	COPE
CLVS1	DMRTC2
CLVS1	DND1
CLVS1	DUSP16
CLVS1	HHAT
CLVS1	IKBKG
CLVS1	ITGA5
CLVS1	MTMR14
CLVS1	PCDHB11
CLVS1	PNPLA6
CLVS1	PSME1
CLVS1	RBM42
CLVS1	ZSCAN25
NCKAP1L	AMPD3
NCKAP1L	ARRB2
NCKAP1L	CYB561D1
NCKAP1L	SMCR8
NCKAP1L	SPINT1
TPST1	FAM13C
KANSL2	DDX47
KANSL2	DUSP12
KANSL2	MFAP1
KANSL2	TMSB15B
KANSL2	FBXO38
KANSL2	MFSD8
KANSL2	MRRF
KANSL2	SYNRG
KANSL2	ZBTB8OS
KANSL2	ZNF75D
KRBA2	FRRS1L
LRCH4	NAT16
RPS18	ATP6V1G1
ANKZF1	GBA2
ANKZF1	TAZ
ANKZF1	ZNF862
ANKZF1	VPS16
ANKZF1	ZNF335
ANKZF1	CAPN10
ANKZF1	LMBR1L
ANKZF1	NDUFS2
ANKZF1	RHOT2
ANKZF1	WDR6
ANKZF1	ZBTB17
RPL19	NACA
RPL19	U2AF1
KIF2B	UGT3A1
NUDT8	TMEM129
NUDT8	UQCC2
KLHDC2	EXOSC8
KLHDC2	BOD1
KLHDC2	ZNF836
KLHDC2	DYNC1I2
KLHDC2	ORC3
KLHDC2	PEX1
AUP1	TRMT1
RABL2A	RABL2B
LRWD1	HES5
ARRDC1	SIGIRR
ARRDC1	SIRT7
TAF12	CCDC130
TAF12	CDC26
TAF12	PQLC3
FAM213A	SPON1
SLC25A1	CD81
SLC25A1	PEBP1
SLC25A1	GAMT
MRPL46	GTF2E2
MRPL46	CMSS1
MRPL46	ACSF2
MRPL46	NUDT15
MRPL46	AZI2
MRPL46	GHITM
MRPL46	HAGH
MRPL46	TMEM220
MRPL46	TSFM
CASP8AP2	TUBD1
DUSP11	EPHX3
PLSCR5	GAS2
PLSCR5	PBOV1
HINT2	TST
HINT2	SURF1
HINT2	FLAD1
HINT2	C6orf57
HINT2	ZDHHC4
HINT2	MBNL1-AS1
HINT2	GPX4
HINT2	NDUFS7
GCGR	EFCAB4B
GCGR	KRT13
SEL1L2	MACROD2
RFK	ALG6
RFK	C5orf28
RFK	UBE2D2
ISG20	LYSMD2
ISG20	IL27RA
ISG20	C5orf56
ISG20	ANO3
ISG20	PIWIL2
ISG20	STK10
SLC25A33	CDO1
SLC25A33	THRSP
SLC25A33	SGCG
SLC25A33	C16orf46
SLC25A33	DUSP14
SLC25A33	HK2
SLC25A33	OSCP1
PRAM1	ZNF487
PRAM1	ADRBK1
PRAM1	ANKRD13D
PRAM1	IL2RA
PRAM1	OSCAR
PRAM1	TNNT1
RNH1	LTBR
RNH1	PLEKHM2
FBL	C12orf57
FBL	GLTSCR2
FBL	IMPDH2
FBL	RPL13A
TSC2	DCTN1
TSC2	EHMT2
TENC1	EMP2
TENC1	SEP15*
GMNC	MARVELD2
AOX1	ALDH1A1
ZSCAN21	LOH12CR1
YBX1	TPGS2
RPL6	LRRC8D
RPL6	NARG2
RPL6	TPT1
NDUFA9	TUFM
NDUFA9	RWDD2B
NDUFA9	IDH3B
NDUFA9	MRPL2
NDUFA9	OGDH
DARC	PDIA5
DARC	CCL19
DARC	BMX
DARC	RAB3C
DARC	C10orf128
DARC	ADM5
DARC	SPHK1
DARC	SELP
DARC	DUSP23
DARC	ITGB4
DARC	LRRC1
DARC	MLPH
DARC	NUAK1
DARC	OLFM1
DARC	PLAT
DARC	PLVAP
DARC	SPNS2
DARC	TACR1
BOP1	ARMC6
SNORA29	CST8
SNORA5A	GJB3
SNORA16A	FAM189B
SNORA16A	RPL39
SNORA16A	ARID3B
SNORA16A	C19orf54
SNORA16A	CELF3
SNORA16A	IQCJ
SNORA16A	MEGF10
SNORA16A	RPIA
SNORA16A	TTLL12
SNORA16A	TTLL4
SNORA16A	UMODL1
SNORA16A	ZFHX2
SNORA16A	ZMIZ1
SNORA44	HELLS
SNORA61	GORAB
SNORA61	MBD4
SNORA47	CDH15
SNORA47	NCCRP1
SNORA47	HTR3D
SNORA47	ATG9B
SNORA47	RHBDL3
LINC00235	FOXR1
PRG1*	OCSTAMP
PRG1*	ZNF365
RPS3	EEF1D
PSMA6	COPS3
TMEM98	EMC10
TMEM98	CRYM
TMEM98	TMEM45A
TMEM98	UBE2QL1
TMEM98	BICC1
TMEM98	OMD
TMEM98	PDE1A
TMEM98	SLC2A10
RPL26	RPL7
RPL26	TAF1D
RPL26	BTG2
RPL26	CNBP
RPL26	LINC00654
RPL26	RPS27A
RPL26	SUMO2
MTIF3	CSRP2
MTIF3	METTL5
MTIF3	ZNF330
TMA7	RPS7
TMA7	TNRC18
TMA7	EXOSC1
TMA7	C1orf131
TMA7	EEF1B2
TMA7	KPNA6
TMA7	NFIB
TMA7	RPS27A
BAG3	BAMBI
BAG3	DCUN1D3
BAG3	RTN4RL1
BAG3	SAMD4A
BAG3	SH2D4A
BAG3	SLC22A5
RPS15	RPS7
RPS15	RPL18
RPS15	RPL13
RMDN3	ZC3HC1
RMDN3	TRERF1
TYK2	UBA7
TYK2	DNAH1
TYK2	ENTHD2
TYK2	ZNF266
TYK2	C9orf142
LAMTOR4	TCEB2
LAMTOR4	ZNRD1
LAMTOR4	TAF10
LAMTOR4	WDR45
LAMTOR4	ELMOD2
LAMTOR4	JTB
LAMTOR4	MT1F
LAMTOR4	NOSIP
LAMTOR4	SPSB3
LAMTOR4	SUPT4H1
LINC00657	DCN
LINC00657	HTRA2
LINC00657	IRF2BPL
LINC00657	MBD1
LINC00657	PQBP1
LINC00657	RAD1
LINC00657	SLC25A5
LINC00657	XIAP
LINC00657	YWHAB
LINC00657	ZNF573
NDUFS3	MRPL21
ILKAP	CEP95
ILKAP	ORAOV1
UXT	SDHAF2
UXT	RPL41
RPL23	RPS13
C1QBP	SLIRP
C1QBP	EMC8
C1QBP	PAICS
TMEM141	METRN
POP7	GNPTG
POLR2I	KRTCAP2
POLR2I	PPP1R14A
NFKBIZ	HHEX
NFKBIZ	HOPX
NFKBIZ	VMP1
C19orf53	SEPW1
C19orf53	ZNF593
C19orf53	C11orf83
C19orf53	GFER
PPP1R35	CLK2
PPP1R35	ZFHX3
ALG5	HINT1
NDUFA12	MPC1
ECHS1	DECR1
ECHS1	AIFM1
ECHS1	COQ9
ECHS1	MRPS15
ECHS1	PGAM2
ECHS1	YBX2
ECHS1	ZDHHC4
ECHS1	C16orf89
ECHS1	CHCHD10
ECHS1	PFKFB1
ECHS1	SLC25A33
ECHS1	SAMM50
ECHS1	BCKDHB
ECHS1	BPHL
ECHS1	CS
ECHS1	FGFRL1
ECHS1	GLYAT
ECHS1	NDUFV3
ECHS1	PDE3B
ECHS1	PLEKHG6
ECHS1	SLC2A4
PARP12	UBE2L6
PARP12	RTP4
PARP12	AP1G2
PARP12	EHBP1L1
PARP12	CCND3
PARP12	MLKL
PARP12	APOL3
PARP12	CDC25B
PARP12	DHX58
PARP12	IFITM1
PARP12	NLRC5
PARP12	NUBPL
PARP12	RIPK3
PARP12	RNF213
PARP12	TRAF5
PARP12	UPP1
COX17	CMC2
COX17	PSMB6
MUS81	QSOX2
WDR61	SEC61B
WDR61	FAM92A1
WDR61	LINC00478
WDR61	MRPS14
WDR61	PON2
NDUFS5	FAM104B
SNRPD2	BUD31
SNRPD2	TMEM258
SNRPD2	TCEB2
SNRPD2	RNF113A
SNRPD2	SEC11C
SNRPD2	RPL35
SNRPD2	UXT
SNRPD2	ANKRD49
SNRPD2	FGFR1OP2
SNRPD2	PPIH
SNRPD2	SELK*
SNRPD2	TOMM5
UQCR10	MRPL40
UQCR10	CHCHD1
UQCR10	APOO
UQCR10	DDT
UQCR10	MRPS11
UQCR10	MRPS7
UQCR10	NDUFS7
UQCR10	PPT2
UQCR10	UQCRQ
MRPS17	JAGN1
MRPS17	COA4
RPL39	RPL38
RPL39	RPL9
FAT1	GLCE
FAT1	PLA2G4A
FAT1	DAG1
FAT1	DSEL
RPL23A	TC2N
RPL23A	RPS27
RPL23A	CCNI
RPL23A	TRAF3
RPLP0	CRELD2
KL	C1QTNF9
KL	APP
KL	C9orf40
KL	GIPC2
KL	GRK5
KL	IRF2BP2
KL	KIF9
KL	OSBPL10
RPS4X	RPS8
RPS4X	RPL11
RPS4X	RPS13
RPS4X	RPS2
RPS4X	RPL23A
RPS4X	RBMXL1
RPS4X	RPL3
RPS4X	RPS15A
ATRAID	RNF5
ATRAID	PSMB1
RANBP9	PTPRQ
RANBP9	JMY
RANBP9	NXPH3
RANBP9	ORC4
RANBP9	PLK1S1
RANBP9	TNRC6A
UQCRFS1	NFKB1
UQCRFS1	CCNH
UQCRFS1	ATP5B
ZGPAT	ARSA
ZGPAT	EXTL3
GSTA2	SLC22A20
TERF2IP	LRRC8E
OAT	INIP
OAT	CRNDE
OAT	DSTN
OAT	ERI2
OAT	PCMT1
OAT	PRTFDC1
C8orf4	TCF15
C8orf4	DLL1
C8orf4	SGK1
C8orf4	SH2D3C
C8orf4	SOX17
C8orf4	ZBTB46
HPRT1	SPPL2A
HPRT1	CHSY1
HPRT1	ID2
HPRT1	PI4K2B
HPRT1	SQLE
HPRT1	SRP72
TDG	PTPN14
TDG	TTTY5
TDG	SECISBP2
IER2	GRASP
ANKRD49	SS18L2
ANKRD49	SNRPA1
ANKRD49	TIFA
C1orf186	RGS13
FPR1	CDKN2D
FPR1	AATK
FPR1	HCRT
FPR1	CSF3R
FPR1	CXCR1
FPR1	CXCR2
FPR1	IL18RAP
FPR1	KCNJ15
FPR1	MMP25
FPR1	TMEM154
C1S	CTSK
C1S	PRR24
C1S	C3orf14
C1S	MFAP4
C1S	C1RL
C1S	WISP2
C1S	ABCA6
C1S	TMEM98
C1S	ARHGAP6
C1S	C1R
C1S	C2
C1S	CA12
C1S	CDH11
C1S	CFB
C1S	CHEK2
C1S	CMTM3
C1S	COL4A4
C1S	GATA3
C1S	GLI2
C1S	LMOD1
C1S	LPAR1
C1S	SERPINA3
YARS	HSD3B7
NDNL2	UQCRB
PPM1H	HBEGF
PPM1H	RASGRP3
MANSC4	TMC4
MANSC4	TEX40
MANSC4	HIST1H2AG
MANSC4	KRT84
MANSC4	ARHGEF19
MANSC4	URB2
MANSC4	NOXRED1
CAPNS1	AAAS
CAPNS1	SCAMP3
CAPNS1	PLCD1
CAPNS1	ILK
CAPNS1	C1orf56
CAPNS1	CD99
CAPNS1	DMPK
CAPNS1	EIF3B
CAPNS1	MYL9
CAPNS1	N4BP2L2
SLC20A1	PLK3
SLC20A1	TRAF5
DYNC1I2	THAP10
DYNC1I2	PHF16
DYNC1I2	ZNF781
YAE1D1	ZNF7
APOA4	INSL4
APOA4	IDI2
APOA4	TAS1R2
APOA4	AGTR2
SLC34A2	OR5D14
RPL37A	RPL39
RPL37A	GMEB2
HIST3H2A	ARMC7
HIST3H2A	NOS1AP
RNF20	DYNC1I2
TLR1	CSF2RA
TLR1	CXCL1
GPR21	KRT38
DENND6A	AHR
DNM3	LTBP1
SIX4	TTC9C
SIX4	ZNF518B
NBEA	MAB21L1
BLCAP	DTX1
BLCAP	3-Mar
BLCAP	LDLRAD3
PSME2	ZBED5
PSME2	HAPLN3
PSME2	KIAA1377
PSME2	MBD5
PSME2	NPRL2
PSME2	RBX1
PSME2	STARD3NL
GCSH	ZYG11B
HOXB-AS3	PLA2G6
SPATA42	OPALIN
C7orf76	OR1C1
SRGAP3-AS3	C21orf37
NSAP11*	PAH
DAOA-AS1	SIM1
ZNF316	RPL10L
LINC00323	KCNC3
ASAP1-IT2	ASAP1
1-Mar	LY96
1-Mar	EVI2A
1-Mar	CCL24
1-Mar	ADCY7
1-Mar	CYBB
1-Mar	IRF5
1-Mar	P2RX7
10-Sep	DONSON
10-Sep	AADAT
10-Sep	FAM3C
10-Sep	H1F0
10-Sep	KIAA1467
10-Sep	OSBPL9
10-Sep	PTN
11-Sep	SRSF11
14-Sep	TDRKH
2-Mar	LIX1L
2-Mar	RARS2
2-Mar	FAM47E
2-Mar	AGTR1
2-Mar	GJA1
2-Mar	IRS1
2-Mar	PCCA
2-Mar	VSTM4
2-Mar	ZNF595
2-Sep	BTBD1
2-Sep	FSTL1
2-Sep	GDI2
2-Sep	HSPA5
2-Sep	NEK7
2-Sep	NHLRC3
2-Sep	PSMB2
2-Sep	STOM
2-Sep	SUN1
2-Sep	WDR45B
3-Mar	KIAA1239
3-Mar	PGM3
4-Sep	SYBU
5-Mar	FAIM
6-Mar	RRP1B
7-Mar	WRAP53
7-Mar	HEXIM2
7-Mar	MC3R
7-Mar	KRT2
7-Mar	AKTIP
7-Mar	ATP10D
7-Mar	CCNJ
7-Mar	SENP6
7-Mar	SLC5A5
7-Mar	XPO1
7-Sep	EID1
7-Sep	TMEM107
8-Sep	P4HA2
8-Sep	CEP112
8-Sep	ANKFY1
8-Sep	SCRN1
9-Mar	KIFC2
9-Sep	ADH5
9-Sep	ST6GALNAC4
AACS	PNPLA3
AACS	KIAA0922
AACS	EEPD1
AACS	FADS1
AACS	LPIN1
AACS	SHMT1
AACS	SPTSSA
AAGAB	LCLAT1
AAK1	SND1-IT1
AAK1	ZNF324
AAK1	CHD3
AAK1	DIP2A
AAK1	PAK2
AAK1	SLCO3A1
AAK1	TNFRSF1B
AAK1	ZNF276
AARD	CYP2J2
AARD	MUC6
AARD	LEMD1
AARD	FOXA2
AARD	GBX1
AARD	PIWIL3
AARD	HJURP
AARD	KRT28
AARD	MGC45922*
AARD	BRINP1
AARD	GRHL2
AARD	GRIN2A
AARD	HTR2A
AARD	KCNK10
AARD	NOVA2
AARD	PRKAG3
AARD	SUSD4
AARD	TEX35
AARD	TRIM29
AARS	TESK1
AARS	ELAC2
AARS	IFRD2
AARS	LZTS3*
AARS	PTDSS2
AASDH	TFB1M
AASS	RORB
ABCA3	FAM211B
ABCA4	ASIC5
ABCA5	TMTC1
ABCA8	ABCA6
ABCB8	PRSS38
ABCB8	SLC5A2
ABCB8	EVX1
ABCB8	HES2
ABCB9	EFNA4
ABCB9	GIP
ABCB9	ACPT
ABCB9	FLJ44635*
ABCB9	AVPR1B
ABCB9	STPG2
ABCB9	KRT35
ABCB9	NPAS1
ABCB9	OR2AG2
ABCB9	LBX1-AS1
ABCB9	C2orf70
ABCB9	C7orf62
ABCB9	CHRNA10
ABCB9	CTCFL
ABCB9	FBXO24
ABCB9	KIAA1468
ABCB9	MCHR1
ABCB9	PGPEP1
ABCB9	SLC25A47
ABCB9	YJEFN3
ABCC5	SLC26A11
ABCC5	ATP10D
ABCC5	IFFO1
ABCD2	COQ10A
ABCD2	TMEM170B
ABCD2	APQ*
ABCD2	CLCN4
ABCD2	LUZP2
ABCD2	TSGA10
ABCD3	CDC23
ABCD3	NHLRC3
ABHD10	FAM220A
ABHD12B	UPK1A
ABHD12B	ATXN2L
ABHD14B	CHST12
ABHD14B	ABCD1
ABHD14B	FHIT
ABHD15	C11orf80
ABHD15	CMBL
ABHD15	TOMM34
ABHD5	KIAA1239
ABHD5	TTLL7
ABHD5	EIF4EBP1
ABHD5	TNFRSF25
ABL1	SENP3
ABL1	ANGPTL2
ABL1	BCL7B
ABL1	RELA
ABL1	SLC3A2
ABLIM1	TMEM43
ABRA	LMOD2
ABRA	NTS
ABRA	SORCS3
ABT1	C9orf89
ABTB1	UBALD2
ABTB1	SHISA5
ACAA1	STK16
ACACA	CKMT2
ACACA	OLFM2
ACACA	FASN
ACACA	ECHS1
ACACA	C19orf52
ACACA	AACS
ACACA	ACLY
ACACA	ALDOC
ACACA	DHCR24
ACACA	HSD17B12
ACACA	NAT8L
ACACA	TCEB3
ACACB	RGMB
ACAD8	NFS1
ACAD9	PDCD2L
ACAD9	C12orf52
ACAD9	SERTAD3
ACAD9	ZNF410
ACADL	NDUFAF5
ACADL	BCL2L13
ACADL	MYO16
ACADM	QSOX1
ACADM	BNIP3
ACADM	ALDH5A1
ACADM	CAT
ACADM	GPHN
ACADM	GPR180
ACADM	HSDL2
ACADM	MTHFD2L
ACADM	PCCB
ACADM	SLC16A7
ACADM	XRCC6BP1
ACADS	TMED1
ACADS	NFKBIL1
ACADS	PPAPDC3
ACADS	ADCY5
ACADS	COPS6
ACADS	GRPEL1
ACADS	KLHL26
ACADS	MAP7D1
ACADS	MRAS
ACADS	TCEB3
ACAP2	COMMD6
ACAP2	CSGALNACT1
ACAP3	CYP11B1
ACAT2	EBP
ACBD4	B9D2
ACBD5	ZNF496
ACBD5	AIG1
ACBD5	C6orf141
ACBD5	GABPA
ACBD5	NAA38
ACBD5	UBE2D3
ACBD7	ST8SIA3
ACIN1	MRFAP1
ACIN1	OPA3
ACKR3	ISM1
ACKR3	PAMR1
ACLY	DHCR7
ACLY	ELOVL6
ACLY	FDPS
ACLY	LPCAT3
ACLY	TMEM184B
ACO2	ANXA6
ACO2	TRAP1
ACO2	AIFM1
ACO2	PET112
ACO2	REEP6
ACO2	CPT2
ACO2	HMGN4
ACO2	GPI
ACO2	FAM207A
ACO2	CLPB
ACO2	EARS2
ACO2	GRHPR
ACO2	LRP3
ACO2	LRRC41
ACO2	MDH2
ACO2	PDXK
ACO2	PGM1
ACO2	PITRM1
ACO2	POLR3H
ACO2	RPTOR
ACO2	SDHA
ACO2	THEM6
ACO2	TUBB
ACOT12	SLC7A3
ACOT12	HRNR
ACOX1	CDR2L
ACOX1	COL11A1
ACOX1	FADS2
ACOX1	IRF2BPL
ACOX1	PCDP1*
ACP2	LPCAT3
ACPL2	ZNF300
ACSL1	ADORA1
ACSL1	ALDH9A1
ACSL1	DGAT2
ACSL1	ELOVL5
ACSL1	GPAM
ACSL1	PDHA1
ACSL1	PPIF
ACSL1	TTC39C
ACSL4	CCDC125
ACSL4	VMA21
ACSL5	NPHP4
ACSL5	NUP93
ACSL5	DNASE1L1
ACSL5	SPTLC2
ACSM2A	C17orf104
ACSS1	ANXA2R
ACSS1	APBA3
ACSS1	APOBEC3F
ACSS1	FAM172A
ACSS1	TRAF4
ACSS2	SPATA24
ACSS2	GALNT7
ACSS2	LSS
ACSS3	SKIV2L2
ACSS3	CA11
ACSS3	C5orf51
ACSS3	IL15
ACSS3	RPS6KA4
ACSS3	UTS2B
ACTB	TRMT5
ACTB	TMSB4X
ACTB	ACTG1
ACTBL2	PPP1R42
ACTC1	ITIH3
ACTG1	MYC
ACTG1	TMEM165
ACTG1	TUBA1A
ACTN1	ITPK1
ACTN1	SEC61A1
ACTN1	STARD7
ACTN4	MYH9
ACTR1A	COPG1
ACTR1A	FEM1A
ACTR1A	CPNE2
ACTR1A	TRIP6
ACTR1A	B4GALT7
ACTR1A	CTBP1
ACTR1A	ITPRIPL2
ACTR1A	KDM4B
ACTR1A	PI4KB
ACTR1A	TXLNA
ACTR1B	ZFYVE19
ACTR1B	APBB1
ACTR1B	C19orf48
ACTR1B	IL11RA
ACTR2	C1RL
ACTR2	EIF5
ACTR2	KRAS
ACTR2	OSBPL11
ACTR2	SOD2
ACTR2	TRAM1
ACTR3	CAPZA1
ACTR3	PRKACB
ACTR3	TMEM123
ACTR6	IL1F10
ACTR6	RLN3
ACTR6	ANGPTL1
ACTR6	ARSE
ACTR6	CAND1
ACTR6	CRBN
ACTR6	HCN4
ACTR6	KIRREL2
ACTR6	SETD6
ACVR1	LRRC42
ACVR1	PRR15
ACVR1	GPR64
ACVR1	SLK
ACVR1	STK24
ACVR1C	ECHDC3
ACVR1C	TNFRSF12A
ACVR1C	AK4
ACVR1C	ASRGL1
ACVR1C	CDKN1A
ACVR1C	EIF4EBP2
ACVR1C	GLUL
ACVR1C	NR3C1
ACVR1C	PMM2
ACVR1C	PPP3R1
ACVR1C	RFC1
ACVR1C	RGS3
ACVR1C	TXLNG
ACVR2A	OR51G1
ACVR2B	CBX7
ADAL	ZNF132
ADAL	CNKSR1
ADAM10	CNOT6
ADAM12	SLC25A38
ADAM12	C10orf90
ADAM12	NANOS1
ADAM15	ATG9A
ADAM8	TCN1
ADAM8	TRIM32
ADAM9	PROS1
ADAM9	SNX12
ADAMTS1	KLF4
ADAP2	VPS18
ADAP2	SUCNR1
ADAP2	AP1B1
ADAP2	CD209
ADAP2	CSF1R
ADAP2	DLGAP4
ADAP2	HMOX1
ADAP2	TPP1
ADARB2	SULT1C3
ADCK3	GCAT
ADCY7	SAT1
ADCY7	ARNTL2
ADCY7	FAM102A
ADCY7	FMNL1
ADCY7	GNG2
ADCY7	RAI2
ADCYAP1	SLC17A3
ADCYAP1R1	CYGB
ADCYAP1R1	TBCEL
ADD3	HEATR4
ADD3	STAG2
ADH1B	FABP4
ADH1B	EMC3
ADH1B	WDR19
ADH1B	APBB1IP
ADH1B	ELP2
ADH1B	GPBAR1
ADH1B	RGS17
ADH1B	CTH
ADH1B	CIDEA
ADH1B	ABHD5
ADH1B	ADH1A
ADH1B	CDC37L1
ADH1B	DSE
ADH1B	EIF4EBP2
ADH1B	EPB41L4B
ADH1B	FMO2
ADH1B	GALNT15
ADH1B	LRP11
ADH1B	LRRC8B
ADH1B	MET
ADH1B	NUB1
ADH1B	PDK4
ADH1B	PHLPP2
ADH1B	RTN1
ADH1B	STAT3
ADH1B	TARSL2
ADH1B	ZFAND5
ADH5	AKAP7
ADH5	RPS20
ADH6	INHA
ADH6	OR2S2
ADH6	ATP1A4
ADH6	ZNF705A
ADH6	OR2G3
ADH6	SLURP1
ADH6	HAND2-AS1
ADH6	CA14
ADH6	COL19A1
ADH6	MMGT1
ADH6	OGDHL
ADH6	TRPV4
ADH7	ERVFRD-1
ADIPOR1	C20orf85
ADIPOR1	BNIP3L
ADIPOR1	OAZ1
ADIPOR1	SIAH2
ADIPOR1	ZDHHC2
ADIPOR2	PTPLB
ADIPOR2	BCL2
ADIPOR2	CGGBP1
ADIPOR2	SRPR
ADM2	OR2A14
ADM2	EBI3
ADM2	PTH2
ADM2	MAGEB6
ADM2	ZNF785
ADM2	APOBEC3H
ADM2	MMD2
ADM2	MYBPC1
ADM2	MYLPF
ADM2	PRDM9
ADM2	RNF43
ADO	HIST1H3F
ADORA1	KLHL25
ADORA1	SNTB1
ADPGK	TTC13
ADPGK	FAM60A
ADPGK	ROBO1
ADPGK	SLC25A45
ADPRHL1	CDH17
ADPRHL1	EIF1AD
ADPRM	C7orf60
ADPRM	METTL9
ADPRM	RFESD
ADPRM	SUPT3H
ADPRM	SYF2
ADRBK2	CSNK2A2
ADRBK2	AVPR1A
ADRBK2	GPHN
ADRM1	PIN1
ADRM1	SIGMAR1
ADRM1	SIRT2
ADRM1	TCF25
ADSS	PTF1A
ADSS	ACTR2
ADSS	QTRTD1
ADSS	SGTB
ADSS	SLC30A7
ADSS	TMEM66
ADSS	ZNF217
AEBP2	CDADC1
AEBP2	PLA2G12A
AEBP2	ZNF544
AFF3	CRYAB
AFF4	TMEM127
AFF4	ZNF208
AGER	GPCPD1
AGER	MBD6
AGER	SH3BP2
AGER	TRAFD1
AGFG1	ATP13A3
AGFG1	SMYD2
AGFG1	GCLM
AGFG1	IFNAR1
AGFG1	SNX10
AGGF1	CEP104
AGGF1	DCAF11
AGGF1	FAF2
AGGF1	LMAN1
AGMAT	PSKH2
AGMO	NLRP9
AGO1	CKAP4
AGO1	DCUN1D1
AGO1	PPP3CA
AGO1	SPEN
