source	target
RPS8	RPL14
QSOX1	SGSH
VKORC1	WDR83OS
VKORC1	PHPT1
VKORC1	TMEM205
VKORC1	TMEM14A
VKORC1	CETN2
VKORC1	SPG21
VKORC1	CLTB
VKORC1	TP53TG1
VKORC1	MPV17
VKORC1	ARL2
VKORC1	ATP6V1F
VKORC1	C1orf85
VKORC1	CUX1
VKORC1	LYRM9
VKORC1	NSMCE1
VKORC1	THBS3
VKORC1	YIPF3
TBCB	ARF1
RBM38	KCTD13
RBM38	TSPO2
RBM38	E2F2
RBM38	GATA1
RBM38	RAD52
RBM38	SLC22A16
ANAPC5	TBX19
NDUFAB1	NDUFS4
NDUFAB1	HSD17B10
NDUFAB1	NDUFA6
NDUFAB1	NDUFA7
NDUFAB1	NMB
NDUFAB1	PDHB
NDUFAB1	FAM211A
NDUFAB1	UQCRFS1
NDUFAB1	5-Mar
NDUFAB1	ATP5B
NDUFAB1	MMAB
NDUFAB1	MRPS28
UGP2	MDH1
LPCAT1	GINM1
PCOLCE	SRPX
PCOLCE	CRABP2
PCOLCE	NT5E
VDAC1	DNAJC13
VDAC1	BCCIP
VDAC1	MTHFD1L
VDAC1	PROCA1
COX5A	ACAA2
COX5A	FH
COX5A	MRPL4
RPN2	HYOU1
PSMA5	GSTO1
PSMA5	PTRH2
PSMA5	COMMD3
DCTN1	RRAS
WDR83OS	TMEM179B
WDR83OS	CUX1
C12orf57	ACTL6A
C12orf57	TMEM81
C12orf57	EPB41L4A-AS1
C12orf57	RPLP0
ZFP36	MYC
ZFP36	FOS
CDC37	CRIP2
CDC37	CXXC1
CDC37	RUSC1
PSMB3	BABAM1
KIAA1191	SNAP47
KIAA1191	DNAJA3
KIAA1191	GFM2
KIAA1191	SLC46A1
KIAA1191	TMX2
RGS2	SLC16A2
RGS2	S100P
RGS2	NFE2
RGS2	CMTM2
RGS2	AMICA1
RGS2	NLRP12
RGS2	ATXN1L
RGS2	ICAM3
RGS2	ADAM8
RGS2	C19orf59
RGS2	CDA
RGS2	CYP4F3
RGS2	HAL
RGS2	TREM1
RGS2	TTC23
RGS2	UNC13B
RGS2	ZBTB42
RGS2	ZFYVE1
ACAA2	SGK2
ATP6V0C	DDX47
ATP6V0C	SH3BGRL3
ATP6V0C	FURIN
ATP6V0C	TVP23C
