Probe_Id	Symbol	is.hub	Module	has.cisEQTL	module.rank	cor.w.sqrtBMI	cor.w.logmatsuda	cor.w.logSi	is.keydriver	connectivity
ILMN_1737813	PRNPIP	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	9
ILMN_1775170	MT1X	FALSE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	6
ILMN_2361163	SSBP3	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	25
ILMN_1712755	LRRC41	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	25
ILMN_1662640	C20orf127	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	6
ILMN_1698995	DES	TRUE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	49
ILMN_1679867	LOC642255	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	30
ILMN_1699570	TPD52L2	TRUE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	62
ILMN_2059211	KIAA0195	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	37
ILMN_1694325	NFIX	TRUE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	27
ILMN_1732296	ID3	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	11
ILMN_1718537	HPS6	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	54
ILMN_1813236	C6orf136	TRUE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	39
ILMN_1655561	ARPC3	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	19
ILMN_1696021	KPNA6	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	49
ILMN_1755737	TRABD	TRUE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	44
ILMN_2064694	STIM1	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	13
ILMN_1713351	SATL1	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	12
ILMN_2305599	LDB3	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	52
ILMN_1730799	PHF12	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	11
ILMN_1810785	RNF11	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	18
ILMN_1737833	ATN1	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	7
ILMN_1773427	KANK1	FALSE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	4
ILMN_1658883	ARAF	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	33
ILMN_1681728	LOC643505	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	6
ILMN_1801864	LOC730455	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	9
ILMN_1740170	CHCHD10	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	28
ILMN_1746706	LOC653103	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	10
ILMN_3310491	MIR1978	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	5
ILMN_1761450	DHRS4L2	FALSE	M2	TRUE	490	PositiveCorr	NotCorr	NotCorr	FALSE	3
ILMN_1745329	PRR14	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	30
ILMN_1670456	RBM42	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	34
ILMN_1715886	CNOT7	TRUE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	40
ILMN_2050654	SAV1	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	26
ILMN_1790987	HUWE1	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	31
ILMN_1705733	KIAA0460	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	13
ILMN_1777129	C16orf56	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	6
ILMN_1696991	DYRK1B	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	21
